Date,Filings
2017-05-11,357
2017-05-12,324
2017-05-15,378
2017-05-16,343
2017-05-17,270
2017-05-18,278
2017-05-19,408
2017-05-22,404
2017-05-23,298
2017-05-24,361
2017-05-25,162
2017-05-26,250
2017-05-29,239
2017-05-30,298
2017-05-31,338
2017-06-01,421
2017-06-02,407
2017-06-05,270
2017-06-06,271
2017-06-07,386
2017-06-08,306
2017-06-09,378
2017-06-12,331
2017-06-13,363
2017-06-14,470
2017-06-15,442
2017-06-16,337
2017-06-19,551
2017-06-20,424
2017-06-21,283
2017-06-22,234
2017-06-23,194
2017-06-26,281
2017-06-27,208
2017-06-28,271
2017-06-29,166
2017-06-30,286
2017-07-03,227
2017-07-04,154
2017-07-05,179
2017-07-06,182
2017-07-07,147
2017-07-10,146
2017-07-11,146
2017-07-12,163
2017-07-13,154
2017-07-14,139
2017-07-17,160
2017-07-18,132
2017-07-19,129
2017-07-20,150
2017-07-21,185
2017-07-24,167
2017-07-25,165
2017-07-26,152
2017-07-27,200
2017-07-28,262
2017-07-31,291
2017-08-01,257
2017-08-02,231
2017-08-03,234
2017-08-04,165
2017-08-07,259
2017-08-08,281
2017-08-09,175
2017-08-10,175
2017-08-11,135
2017-08-14,190
2017-08-15,141
2017-08-16,184
2017-08-17,173
2017-08-18,148
2017-08-21,160
2017-08-22,213
2017-08-23,252
2017-08-24,272
2017-08-25,249
2017-08-28,142
2017-08-29,223
2017-08-30,223
2017-08-31,280
2017-09-01,346
2017-09-04,231
2017-09-05,260
2017-09-06,257
2017-09-07,265
2017-09-08,226
2017-09-11,193
2017-09-12,214
2017-09-13,253
2017-09-14,236
2017-09-15,295
2017-09-18,272
2017-09-19,245
2017-09-20,204
2017-09-21,227
2017-09-22,287
2017-09-25,322
2017-09-26,241
2017-09-27,253
2017-09-28,312
2017-09-29,287
2017-10-02,346
2017-10-03,268
2017-10-04,194
2017-10-05,246
2017-10-06,262
2017-10-09,235
2017-10-10,209
2017-10-11,191
2017-10-12,197
2017-10-13,171
2017-10-16,179
2017-10-17,147
2017-10-18,234
2017-10-19,157
2017-10-20,206
2017-10-23,167
2017-10-24,201
2017-10-25,207
2017-10-26,209
2017-10-27,227
2017-10-30,272
2017-10-31,336
2017-11-01,167
2017-11-02,191
2017-11-03,225
2017-11-06,290
2017-11-07,299
2017-11-08,250
2017-11-09,240
2017-11-10,252
2017-11-13,278
2017-11-14,220
2017-11-15,215
2017-11-16,320
2017-11-17,387
2017-11-20,274
2017-11-21,277
2017-11-22,220
2017-11-23,251
2017-11-24,259
2017-11-27,262
2017-11-28,254
2017-11-29,261
2017-11-30,258
2017-12-01,302
2017-12-04,270
2017-12-05,239
2017-12-06,218
2017-12-07,288
2017-12-08,254
2017-12-11,237
2017-12-12,264
2017-12-13,259
2017-12-14,363
2017-12-15,339
2017-12-18,254
2017-12-19,293
2017-12-20,296
2017-12-21,275
2017-12-22,276
2017-12-25,35
