Country,Filings
AU,4
CH,10
CN,60
CY,7
DE,13
DK,8
ES,3
FI,1
FR,5
GB,9
GR,3
HK,7
ID,2
IE,4
IN,101
IS,1
IT,3
JE,1
KR,30
LK,1
MO,1
MY,9
NL,1
PH,18
PK,2
SE,13
SG,12
TH,5
TR,3
US,45
VN,2
ZA,2
