date,Sentiment Index
2016-01-01,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-11,
2016-01-12,0.4327352402834297
2016-01-13,0.44896688803457874
2016-01-14,0.48487592025447057
2016-01-15,0.49597690312666654
2016-01-19,0.48530672178142287
2016-01-20,0.5019750554030216
2016-01-21,0.526867613043049
2016-01-22,0.5571314444887676
2016-01-25,0.5524575415628767
2016-01-26,0.571658400861343
2016-01-27,0.5900142562402162
2016-01-28,0.6260164804996373
2016-01-29,0.6408743838760702
2016-02-01,0.6291567231118973
2016-02-02,0.6544340412724852
2016-02-03,0.6816180799549851
2016-02-04,0.6868685692758163
2016-02-05,0.7020732322107146
2016-02-08,0.6559433817457205
2016-02-09,0.6813892093236276
2016-02-10,0.6972266746478555
2016-02-11,0.7139760955939494
2016-02-12,0.7161524847838359
2016-02-15,0.6900613396894888
2016-02-16,0.6934132776611186
2016-02-17,0.6995213772049294
2016-02-18,0.7005470640262546
2016-02-19,0.6847749414638884
2016-02-22,0.6602496116866754
2016-02-23,0.6336775097016298
2016-02-24,0.6230191068364468
2016-02-25,0.6130359677034889
2016-02-26,0.5957973624497792
2016-02-29,0.5725319375481932
2016-03-01,0.5657292603774011
2016-03-02,0.5414254169633843
2016-03-03,0.49992219819960537
2016-03-04,0.4624067274649857
2016-03-07,0.4199475301577231
2016-03-08,0.3828953398184407
2016-03-09,0.35427593804082314
2016-03-10,0.3101578173500752
2016-03-11,0.2583521657406065
2016-03-14,0.25233541468160925
2016-03-15,0.21645710385800077
2016-03-16,0.15660986423423862
2016-03-17,0.11752871703831635
2016-03-18,0.05396938582984623
2016-03-21,-0.0012532262954627615
2016-03-22,-0.06369055026959047
2016-03-23,-0.10726119525552535
2016-03-24,-0.17072304817978212
2016-03-28,-0.2392026909795859
2016-03-29,-0.30451147991102223
2016-03-30,-0.32310946562406206
2016-03-31,-0.3350127011756978
2016-04-01,-0.3646956603098839
2016-04-04,-0.4101103365922243
2016-04-05,-0.43812410944685587
2016-04-06,-0.4625754957491892
2016-04-07,-0.510906056283302
2016-04-08,-0.4989764910243818
2016-04-11,-0.5272639193775067
2016-04-12,-0.541553289469987
2016-04-13,-0.5605478614736528
2016-04-14,-0.5683733935369675
2016-04-15,-0.5777527399194042
2016-04-18,-0.58409933968097
2016-04-19,-0.5857559382217976
2016-04-20,-0.608268915486459
2016-04-21,-0.6222770217765379
2016-04-22,-0.633388748948096
2016-04-25,-0.6320397650229822
2016-04-26,-0.6420875770600781
2016-04-27,-0.6564246823359597
2016-04-28,-0.6504108225091882
2016-04-29,-0.6451414553141923
2016-05-02,-0.6392211254969784
2016-05-03,-0.6262555444461262
2016-05-04,-0.610053398272008
2016-05-05,-0.5911296606159262
2016-05-06,-0.6015748980227651
2016-05-09,-0.5984508896907214
2016-05-10,-0.5885053495114223
2016-05-11,-0.5770792407502219
2016-05-12,-0.558601921279152
2016-05-13,-0.5521641526643454
2016-05-16,-0.5434257954031833
2016-05-17,-0.5215959939529115
2016-05-18,-0.5060169661490018
2016-05-19,-0.4604499930744046
2016-05-20,-0.47688098182940264
2016-05-23,-0.4719870913819656
2016-05-24,-0.48253649942184973
2016-05-25,-0.47890443382511094
2016-05-26,-0.4787317665164479
2016-05-27,-0.49571419809207207
2016-05-31,-0.4987899807527998
2016-06-01,-0.49934114805682406
2016-06-02,-0.493979252746788
2016-06-03,-0.49220795027692577
2016-06-06,-0.508081328791685
2016-06-07,-0.5127352914833458
2016-06-08,-0.5169144004741856
2016-06-09,-0.5138858901229294
2016-06-10,-0.5129928202608274
2016-06-13,-0.5132236519258155
2016-06-14,-0.5017215919972445
2016-06-15,-0.5180978283059212
2016-06-16,-0.5115717355864732
2016-06-17,-0.5145103752499917
2016-06-20,-0.5372836359628049
2016-06-21,-0.5435771458277073
2016-06-22,-0.5599150947852433
2016-06-23,-0.57546629444683
2016-06-24,-0.5583456755289642
2016-06-27,-0.555455399023898
2016-06-28,-0.538109216689368
2016-06-29,-0.5432601954995943
2016-06-30,-0.5359788225053049
2016-07-01,-0.5730111533522343
2016-07-04,-0.4772009683597651
2016-07-05,-0.4796858293215136
2016-07-06,-0.4678681321753103
2016-07-07,-0.4503245423372608
2016-07-08,-0.4517124049801229
2016-07-11,-0.44306984827897267
2016-07-12,-0.4687828245213568
2016-07-13,-0.4685137273901081
2016-07-14,-0.4835732850691694
2016-07-15,-0.4719482479372288
2016-07-18,-0.4560497727905273
2016-07-19,-0.46291427692585685
2016-07-20,-0.4744455806458231
2016-07-21,-0.4707026614702966
2016-07-22,-0.4750040460415602
2016-07-25,-0.49823803983819714
2016-07-26,-0.5204796203228169
2016-07-27,-0.5355944375367186
2016-07-28,-0.5630890755781279
2016-07-29,-0.5881912451729423
2016-08-01,-0.581800419128636
2016-08-02,-0.5819635028529966
2016-08-03,-0.5711282459218975
2016-08-04,-0.5654371332165904
2016-08-05,-0.6117773151584437
2016-08-08,-0.6232229759985342
2016-08-09,-0.6379597128678665
2016-08-10,-0.653694126416842
2016-08-11,-0.6704765930191735
2016-08-12,-0.6629956631230122
2016-08-15,-0.7466675410587058
2016-08-16,-0.7442905205619942
2016-08-17,-0.7454397882052614
2016-08-18,-0.7591495832284211
2016-08-19,-0.7569244888076241
2016-08-22,-0.7570469511919325
2016-08-23,-0.7443503356093417
2016-08-24,-0.7524780754133938
2016-08-25,-0.7398770649529562
2016-08-26,-0.744091362294923
2016-08-29,-0.7521750036508665
2016-08-30,-0.7546028487390788
2016-08-31,-0.7443352929578351
