Date,Executive Board,Executive Committee,None Executive,Significant Shareholders
2016-01-01,10.0,40.0,20.0,30.0
2016-01-02,13.043478260869565,34.78260869565217,21.73913043478261,30.434782608695656
2016-01-03,18.51851851851852,29.629629629629626,22.22222222222222,29.629629629629626
2016-01-04,38.94736842105263,22.105263157894736,20.789473684210527,18.157894736842106
2016-01-05,37.69123783031989,21.140472878998608,21.00139082058414,20.166898470097355
2016-01-06,38.618246235606726,18.68910540301151,17.71479185119575,24.977856510186
2016-01-07,40.44943820224719,18.24190350297422,16.986120290812952,24.322538003965626
2016-01-08,39.51871657754011,16.63101604278075,16.524064171122994,27.326203208556148
2016-01-09,39.41489361702127,16.861702127659576,16.43617021276596,27.287234042553195
2016-01-10,39.44710260499733,16.852737905369484,16.4274322169059,27.272727272727266
2016-01-11,40.69714803078316,15.391579900407425,17.292892711634224,26.618379357175193
2016-01-12,41.640625,15.273437500000004,16.953125000000004,26.132812500000004
2016-01-13,41.62679425837321,14.31989063568011,16.64388243335612,27.409432672590565
2016-01-14,42.188468691878484,14.507129572225667,16.831990080595162,26.472411655300682
2016-01-15,42.5754775107825,13.647566235366604,16.08133086876155,27.69562538508934
2016-01-16,43.38588074023304,12.919808087731324,15.421521590130228,28.272789581905418
2016-01-17,43.864541832669325,12.669322709163348,16.055776892430277,27.410358565737052
2016-01-18,44.75580464371497,11.849479583666932,15.932746196957561,27.46196957566053
2016-01-19,46.608767576509514,11.621174524400333,16.501240694789082,25.268817204301076
2016-01-20,45.412517780938835,11.628733997155049,16.145092460881934,26.813655761024187
2016-01-21,45.06862432173636,11.426747526332589,16.72518353016278,26.779444621768274
2016-01-22,44.26024397873006,11.854863934939006,15.63966218329684,28.245229903034097
2016-01-23,43.985890652557316,11.28747795414462,15.731922398589065,28.994708994708994
2016-01-24,44.367909238249595,11.831442463533225,15.923824959481362,27.876823338735818
2016-01-25,43.894250944188,10.826689047419219,16.365925304238356,28.913134704154427
2016-01-26,43.08300395256917,10.188844971453667,17.435221783047872,29.292929292929294
2016-01-27,41.94966040751099,9.908110267678786,17.4190970834998,30.72313224131043
2016-01-28,41.75784099197666,10.029175784099198,17.359591539022613,30.85339168490153
2016-01-29,39.35483870967742,10.609318996415771,18.13620071684588,31.899641577060933
2016-01-30,38.34586466165414,11.0407597942224,17.926394934705183,32.686980609418285
2016-01-31,38.51224105461393,10.687382297551789,18.738229755178907,32.06214689265536
2016-02-01,38.669334667333665,11.205602801400701,17.858929464732366,32.266133066533264
2016-02-02,37.66094420600859,11.373390557939913,18.0793991416309,32.8862660944206
2016-02-03,35.91647331786543,11.368909512761023,17.308584686774946,35.40603248259861
2016-02-04,35.99660008499788,11.474713132171695,17.55206119847004,34.97662558436039
2016-02-05,34.315704481227286,12.878482034719418,16.511909568025835,36.29390391602745
2016-02-06,33.8746053225079,13.531799729364005,15.787099684258008,36.8064952638701
2016-02-07,34.22379032258064,14.213709677419354,15.67540322580645,35.88709677419355
2016-02-08,33.44519015659955,14.988814317673377,15.659955257270692,35.90604026845637
2016-02-09,33.03754266211604,15.7679180887372,14.197952218430036,36.99658703071672
2016-02-10,31.58227848101266,15.37974683544304,13.670886075949367,39.367088607594944
2016-02-11,29.60526315789474,12.904858299595142,12.904858299595142,44.585020242914986
2016-02-12,27.568667344862664,13.021363173957273,12.156663275686672,47.25330620549338
2016-02-14,26.475745178258325,13.09175920514319,12.390414962010519,48.04208065458796
2016-02-15,26.197183098591548,12.507042253521128,11.830985915492956,49.46478873239436
2016-02-16,26.553051126992848,12.149532710280372,10.940076965365584,50.357339197361185
2016-02-17,27.319294251565168,10.984632896983495,10.301650540694366,51.39442231075697
2016-02-18,28.02802802802803,10.36036036036036,10.960960960960962,50.650650650650654
2016-02-19,27.922912205567457,10.920770877944328,11.563169164882229,49.593147751606
2016-02-20,27.949499346974317,10.579016107966913,11.31911188506748,50.15237265999129
2016-02-22,27.272727272727277,10.186688311688311,11.2012987012987,51.33928571428571
2016-02-23,28.950448692937965,11.431915723761216,11.82208349590324,47.79555208739758
2016-02-24,29.825274278748477,12.799674928890695,12.190166598943518,45.184884193417304
2016-02-25,31.0,12.760000000000002,12.560000000000002,43.68
2016-02-26,31.802366040361868,13.60473208072373,12.45650661099513,42.13639526791928
2016-02-27,33.12202852614897,14.302694136291603,12.757527733755945,39.817749603803485
2016-02-29,30.275229357798167,13.549752999294284,12.879322512350036,43.29569513055752
2016-03-01,30.574792243767305,15.893351800554015,12.673130193905816,40.858725761772845
2016-03-02,31.125600549073436,16.231983527796842,13.109128345916265,39.53328757721345
2016-03-03,31.115591397849464,16.196236559139784,12.970430107526882,39.71774193548387
2016-03-04,31.87889581478184,15.64262392401306,13.030572870287918,39.44790739091719
2016-03-05,32.50872185220425,16.587377101173487,13.162067871868063,37.741833174754206
2016-03-06,31.875640587632386,15.954902630679879,12.982576016399044,39.1868807652887
2016-03-07,32.71092669432918,15.6984785615491,13.658367911479944,37.93222683264177
2016-03-08,32.42413910671667,15.547221275144905,13.944766450733038,38.08387316740539
2016-03-09,33.21727019498608,13.962395543175488,13.962395543175488,38.85793871866296
2016-03-10,33.375877472878116,14.199106573069562,13.848117421825146,38.57689853222719
2016-03-11,35.9697386519945,16.024759284731775,13.961485557083906,34.04401650618982
2016-03-14,36.55620088828151,14.58831568158524,14.314998291766312,34.540485138366925
2016-03-15,35.33614810003248,14.030529392659957,12.796362455342647,37.83696005196493
2016-03-16,36.42578125000001,13.8671875,12.011718750000002,37.6953125
