Date,Executive Board,Executive Committee,None Executive,Significant Shareholders
2016-01-01,50.0,11.11111111111111,25.0,13.88888888888889
2016-01-02,48.64864864864865,10.81081081081081,27.027027027027028,13.513513513513514
2016-01-03,52.63157894736841,12.280701754385962,26.315789473684205,8.771929824561402
2016-01-04,43.417366946778714,11.484593837535014,25.49019607843137,19.607843137254903
2016-01-05,50.42881646655232,11.149228130360205,23.32761578044597,15.094339622641511
2016-01-06,48.252688172043015,11.96236559139785,20.56451612903226,19.22043010752688
2016-01-07,47.776510832383124,11.744583808437858,22.00684150513113,18.47206385404789
2016-01-08,51.32508833922261,11.749116607773852,21.113074204946997,15.81272084805654
2016-01-09,51.45374449339207,11.718061674008812,21.05726872246696,15.770925110132161
2016-01-10,52.5149190110827,11.508951406649617,20.716112531969312,15.26001705029838
2016-01-11,53.07017543859649,10.67251461988304,20.614035087719294,15.643274853801167
2016-01-12,52.61797026502908,10.019392372333549,20.814479638009047,16.54815772462831
2016-01-13,50.369528140989196,10.403638430926664,23.536100056850483,15.690733371233655
2016-01-14,49.56298200514139,10.231362467866324,24.010282776349616,16.195372750642676
2016-01-15,51.89535504538174,10.144153764014948,23.65189535504538,14.308595835557927
2016-01-16,50.606796116504846,10.072815533980584,24.150485436893206,15.169902912621358
2016-01-17,52.51141552511416,9.58904109589041,24.983692106979777,12.915851272015654
2016-01-18,51.34660421545668,11.241217798594846,23.009367681498826,14.402810304449648
2016-01-19,49.041434755720466,12.368583797155225,24.05689548546691,14.533085961657388
2016-01-20,47.80189204229271,12.242626599888702,24.763494713411237,15.191986644407343
2016-01-21,47.57686294945284,12.037519541427825,24.960917144346013,15.424700364773319
2016-01-22,45.463864684777036,12.557662737057917,27.114300358790366,14.864172219374677
2016-01-23,44.782110091743114,13.30275229357798,27.981651376146786,13.933486238532108
2016-01-24,46.29748873148744,13.264649066323244,25.885383129426913,14.552479072762395
2016-01-25,46.58944658944658,12.87001287001287,26.383526383526384,14.157014157014155
2016-01-26,46.59166115155526,12.045003309066843,26.869622766379877,14.493712772998013
2016-01-27,48.44311377245509,11.736526946107784,25.74850299401198,14.071856287425149
2016-01-28,47.953539823008846,11.504424778761061,26.438053097345133,14.103982300884956
2016-01-29,47.55887421022401,10.281447443997704,30.21252153934521,11.947156806433085
2016-01-30,47.54716981132076,8.867924528301886,30.88050314465408,12.704402515723267
2016-01-31,49.08450704225352,8.59154929577465,30.633802816901408,11.690140845070424
2016-02-01,48.00810263335585,9.250506414584741,31.53274814314652,11.208642808912899
2016-02-02,49.164851125635444,10.021786492374728,30.065359477124183,10.748002904865652
2016-02-03,45.88452088452088,16.093366093366093,27.57985257985258,10.442260442260443
2016-02-04,45.816503173687245,16.791690709751872,27.35141373341027,10.040392383150605
2016-02-05,46.0419091967404,17.986030267753204,25.902211874272414,10.069848661233994
2016-02-06,44.26336375488917,19.6870925684485,25.88005215123859,10.169491525423728
2016-02-07,42.217484008528785,20.46908315565032,27.292110874200425,10.021321961620469
2016-02-08,45.93118514472965,25.72364827962862,20.589841616602946,7.755324959038775
2016-02-09,45.932203389830505,26.723163841807914,18.757062146892657,8.587570621468926
2016-02-10,47.27547931382442,25.479313824419776,18.46619576185671,8.779011099899092
2016-02-11,47.64918625678119,24.367088607594937,18.44484629294756,9.538878842676311
2016-02-12,47.731239092495635,24.432809773123907,16.57940663176265,11.2565445026178
2016-02-13,48.22988505747126,24.551724137931032,15.816091954022987,11.402298850574711
2016-02-14,50.95805282237183,21.2325220093216,15.743138270326257,12.066286897980323
2016-02-15,49.325626204238915,21.724470134874757,15.944123314065509,13.005780346820808
2016-02-16,48.54771784232365,21.668971876440754,16.044260027662517,13.739050253573074
2016-02-17,48.40425531914894,21.890343698854338,16.325695581014728,13.379705400981996
2016-02-18,47.269303201506595,23.088512241054616,16.49717514124294,13.145009416195858
2016-02-19,44.40497335701598,19.67140319715808,20.20426287744227,15.719360568383657
2016-02-20,45.20286396181385,20.143198090692128,19.188544152744633,15.465393794749405
2016-02-22,41.42295940637276,20.340462680052383,19.423832387603667,18.81274552597119
2016-02-23,39.255136986301366,24.40068493150685,18.707191780821915,17.636986301369863
2016-02-24,37.77089783281733,24.679345422379477,19.770013268465277,17.779743476337902
2016-02-25,38.37489943684634,24.537409493161704,19.95172968624296,17.13596138374899
2016-02-26,38.86874546773024,25.380710659898476,19.869470630891954,15.881073241479335
2016-02-27,38.92644135188867,25.36779324055666,19.880715705765407,15.825049701789265
2016-02-28,38.42775581906017,26.08695652173913,20.28985507246377,15.195432586736935
2016-02-29,37.342908438061045,25.763016157989227,20.960502692998205,15.933572710951527
2016-03-01,37.59015697921086,26.983453542638948,20.577004666949513,14.849384811200677
2016-03-02,39.282803585982066,27.709861450692742,18.989405052974735,14.017929910350446
2016-03-03,38.65327380952381,28.534226190476193,18.489583333333332,14.322916666666666
2016-03-04,39.784946236559136,31.336405529953915,18.164362519201227,10.714285714285714
2016-03-05,39.93330554397666,29.303876615256357,18.716131721550646,12.046686119216341
2016-03-07,38.624135280553425,28.209069946195235,17.217524980784013,15.949269792467332
2016-03-08,38.30174927113702,28.86297376093294,17.055393586005827,15.779883381924197
2016-03-09,39.06424062383958,27.738581507612324,17.11845525436316,16.078722614184922
2016-03-10,38.8870376541153,27.424191936021323,16.627790736421193,17.060979673442187
2016-03-11,42.85294980921633,25.917229233930144,15.468153800997946,15.761667155855594
2016-03-12,43.144022591779105,26.325698148729217,14.810166300596173,15.720112958895516
2016-03-14,43.11704063068527,23.52941176470588,13.826561552456035,19.52698605215282
