Date,Filings
2017-05-10,350
2017-05-11,399
2017-05-12,408
2017-05-15,406
2017-05-16,362
2017-05-17,352
2017-05-18,379
2017-05-19,436
2017-05-22,448
2017-05-23,360
2017-05-24,494
2017-05-25,431
2017-05-26,1344
2017-05-29,567
2017-05-30,318
2017-05-31,416
2017-06-01,511
2017-06-02,520
2017-06-05,369
2017-06-06,313
2017-06-07,357
2017-06-08,477
2017-06-09,430
2017-06-12,454
2017-06-13,418
2017-06-14,354
2017-06-15,387
2017-06-16,385
2017-06-19,388
2017-06-20,370
2017-06-21,360
2017-06-22,390
2017-06-23,680
2017-06-26,146
2017-06-27,1250
2017-06-28,308
2017-06-29,420
2017-06-30,489
2017-07-03,453
2017-07-04,366
2017-07-05,295
2017-07-06,339
2017-07-07,499
2017-07-10,296
2017-07-11,278
2017-07-12,307
2017-07-13,341
2017-07-14,326
2017-07-17,451
2017-07-18,384
2017-07-19,321
2017-07-20,298
2017-07-21,356
2017-07-24,293
2017-07-25,823
2017-07-26,280
2017-07-27,514
2017-07-28,312
2017-07-31,430
2017-08-01,384
2017-08-02,249
2017-08-03,251
2017-08-04,276
2017-08-07,292
2017-08-08,360
2017-08-09,273
2017-08-10,321
2017-08-11,338
2017-08-14,290
2017-08-15,154
2017-08-16,339
2017-08-17,355
2017-08-18,357
2017-08-21,366
2017-08-22,386
2017-08-23,366
2017-08-24,450
2017-08-25,274
2017-08-28,410
2017-08-29,392
2017-08-30,375
2017-08-31,483
2017-09-01,439
2017-09-04,2398
2017-09-05,388
2017-09-06,492
2017-09-07,457
2017-09-08,460
2017-09-11,486
2017-09-12,526
2017-09-13,424
2017-09-14,482
2017-09-15,410
2017-09-18,551
2017-09-19,411
2017-09-20,389
2017-09-21,458
2017-09-22,313
2017-09-25,984
2017-09-26,363
2017-09-27,357
2017-09-28,402
2017-09-29,406
2017-10-02,170
2017-10-03,241
2017-10-04,243
2017-10-05,176
2017-10-06,261
2017-10-09,265
2017-10-10,291
2017-10-11,342
2017-10-12,329
2017-10-13,364
2017-10-16,270
2017-10-17,327
2017-10-18,242
2017-10-19,270
2017-10-20,241
2017-10-23,245
2017-10-24,303
2017-10-25,323
2017-10-26,918
2017-10-27,433
2017-10-30,362
2017-10-31,482
2017-11-01,417
2017-11-02,391
2017-11-03,435
2017-11-06,389
2017-11-07,318
2017-11-08,450
2017-11-09,337
2017-11-10,322
2017-11-13,316
2017-11-14,365
2017-11-15,369
2017-11-16,387
2017-11-17,433
2017-11-20,344
2017-11-21,1264
2017-11-22,380
2017-11-23,898
2017-11-24,450
2017-11-27,379
2017-11-28,426
2017-11-29,352
2017-11-30,324
2017-12-01,526
2017-12-04,340
2017-12-05,413
2017-12-06,466
2017-12-07,431
2017-12-08,446
2017-12-11,413
2017-12-12,356
2017-12-13,400
2017-12-14,376
2017-12-15,520
2017-12-18,444
2017-12-19,418
2017-12-20,430
2017-12-21,1109
2017-12-22,732
2017-12-25,68
2017-12-26,334
2017-12-27,425
2017-12-28,487
2017-12-29,486
2018-01-01,117
2018-01-02,319
2018-01-03,329
2018-01-04,386
2018-01-05,333
2018-01-08,361
2018-01-09,385
2018-01-10,295
2018-01-11,278
2018-01-12,300
2018-01-15,369
2018-01-16,320
2018-01-17,334
2018-01-18,367
2018-01-19,415
2018-01-22,797
2018-01-23,811
2018-01-24,408
2018-01-25,436
2018-01-26,241
