Date,% 1-10B,% >10B
2019 - Aug,18.37,-13.81
2019 - Aug,22.85,-14.31
2019 - Aug,28.36,-13.78
2019 - Aug,17.05,-17.50
2019 - Aug,16.89,-13.90
2019 - Aug,15.39,-8.23
2019 - Aug,10.60,-5.33
2019 - Sep,9.34,-4.98
2019 - Sep,11.68,-8.52
2019 - Sep,24.20,0.55
2019 - Sep,19.83,1.47
2019 - Sep,37.51,7.97
2019 - Sep,27.20,1.84
2019 - Sep,44.65,0.94
2019 - Sep,48.31,-0.28
2019 - Sep,37.14,-0.70
2019 - Sep,29.73,0.52
2019 - Sep,22.18,-4.43
2019 - Sep,31.07,-6.82
2019 - Sep,9.44,-6.31
2019 - Sep,4.81,-8.13
2019 - Sep,-5.86,-4.61
2019 - Sep,-12.12,-4.41
2019 - Sep,-6.89,-8.20
2019 - Sep,-8.70,-7.25
2019 - Sep,-17.73,-8.52
2019 - Sep,-21.54,-12.81
2019 - Oct,-19.25,-8.43
2019 - Oct,-16.09,-14.92
2019 - Oct,-22.57,-14.58
2019 - Oct,-36.56,-9.36
2019 - Oct,-31.37,-8.94
2019 - Oct,-22.14,-12.95
2019 - Oct,-12.55,-13.30
2019 - Oct,-11.89,-11.13
2019 - Oct,-4.00,-10.06
2019 - Oct,-6.36,-10.07
