Annual Perf %,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,IRR
Billionaires,+23.9,+11.9,+28.1,+30.3,-53.4,+104.6,+22.6,-6.7,+16.7,+17.0,+1.6,+3.0,+10.3,+29.3,-11.9,+16.3,+11.7
MSCI ACWI*,+13.4,+10.8,+21.0,+11.7,-42.2,+34.6,+12.7,-7.4,+16.1,+22.8,+4.2,-2.4,+7.9,+24.0,-9.4,+16.0,+7.1
