ADAS,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,ITD
2016,2.60%,1.43%,-0.17%,4.05%,-0.38%,-1.01%,-1.59%,5.72%,0.55%,-0.71%,6.23%,3.61%,21.86%,
2017,0.79%,0.77%,0.89%,-0.32%,-1.12%,,,,,,,,0.99%,24.06%
