ACBF,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,ITD
2016,0.06%,-0.78%,1.62%,0.25%,0.12%,-0.32%,1.39%,0.89%,-0.38%,80.00%,0.95%,0.93%,5.65%,
2017,0.01%,0.44%,-0.19%,0.83%,0.88%,-0.41%,0.58%,0.19%,0.42%,0.88%,-0.45%,-0.06%,3.16%,
2018,0.30%,0.07%,-0.31%,0.06%,-0.06%,-0.16%,0.65%,0.24%,0.44%,-0.51%,-1.25%,-1.04%,-1.58%,
2019,1.45%,1.35%,0.71%,1.09%,-0.88%,0.68%,0.04%,-0.45%,0.53%,-0.51%,0.56%,1.15%,5.84%,
2020,-0.01%,-2.31%,,,,,,,,,,,-2.32%,10.90%
