ACBF,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD*,ITD
2016,0.10%,-0.74%,1.73%,0.32%,0.17%,-0.27%,1.47%,0.97%,-0.34%,0.87%,1.02%,1.01%,6.45%,
2017,0.11%,0.48%,-0.12%,0.88%,1.00%,-0.32%,0.68%,0.25%,-0.24%,1.51%,-0.38%,0.01%,3.91%,
2018,0.39%,0.14%,-0.21%,0.17%,0.02%,-0.08%,0.72%,0.34%,0.72%,-0.38%,-1.16%,-0.97%,-0.31%,
2019,1.49%,1.41%,0.82%,1.19%,-0.75%,0.79%,0.16%,-0.34%,0.66%,-0.39%,0.66%,1.25%,7.13%,
2020,0.11%,-2.25%,-14.25%,2.98%,3.76%,,,,,,,,-10.33%,5.93%
